code,name
SanADM,Adams North
SanALL,Allied Gardens
SanALT,Alta Vista
SanAZL,Azalea/Hollywood Park
SanBAL,Balboa Park
SanBAR,Barrio Logan
SanBAH,Bay Ho
SanBAP,Bay Park
SanBAT,Bay Terraces
SanBIR,Birdland
SanBLA,Black Mountain Ranch
SanBRO,Broadway Heights
SanBUR,Burlingame
SanCAE,Carmel Mountain
SanCAR,Carmel Valley
SanCAS,Castle
SanCHE,Cherokee Point
SanCHL,Chollas Creek
SanCHO,Chollas View
SanCAL,Clairemont Mesa East
SanCLR,Clairemont Mesa West
SanCLN,Colina Del Sol
SanCLL,College East
SanCOE,College West
SanCOR,Core-Columbia
SanCRR,Corridor
SanCRT,Cortez
SanDLC,Del Cerro
SanDLM,Del Mar Heights
SanEAS,East Village
SanEGG,Egger Highlands
SanELC,El Cerrito
SanEMR,Emerald Hills
SanEAN,Encanto
SanFAI,Fairmont Park
SanFRM,Fairmont Village
SanFOX,Fox Canyon
SanGAS,Gaslamp
SanGOL,Golden Hill
SanGRN,Grant Hill
SanGRA,Grantville
SanHAR,Harborview
SanHIL,Hillcrest
SanHOR,Horton Plaza
SanISL,Islenair
SanJAM,Jamacha Lomita
SanKER,Kearny Mesa
SanKEN,Kensington
SanLAJ,La Jolla
SanLAP,La Playa
SanLAK,Lake Murray
SanLNC,Lincoln Park
SanLIN,Linda Vista
SanLIT,Little Italy
SanLOG,Logan Heights
SanLOM,Loma Portal
SanMAR,Marina
SanMDT,Midtown
SanIDW,Midway District
SanMIR,Mira Mesa
SanMIA,Miramar
SanMRM,Miramar Ranch North
SanMSB,Mission Bay
SanMIS,Mission Bay Park
SanMSH,Mission Beach
SanISS,Mission Hills
SanSSI,Mission Valley East
SanMST,Mission Valley West
SanMOR,Morena
SanMON,Mountain View
SanMTO,Mt Hope
SanNES,Nestor
SanNRM,Normal Heights
SanNOR,North City
SanNOA,North Clairemont
SanNRT,North Park
SanOKP,Oak Park
SanOCN,Ocean Beach
SanOEC,Ocean Crest
SanOOL,Old Town
SanOTM,Otay Mesa
SanTOM,Otay Mesa West
SanPCF,Pacific Beach
SanPAL,Palm City
SanPAR,Paradise Hills
SanPRK,Park West
SanPON,Point Loma Heights
SanRAN,Rancho Bernardo
SanRAO,Rancho Encantada
SanRNC,Rancho Penasquitos
SanRED,Redwood Village/Rolando Park
SanRID,Ridgeview/Webster
SanROL,Rolando
SanROS,Roseville / Fleet Ridge
SanSAB,Sabre Springs
SanSNC,San Carlos
SanSAN,San Pasqual
SanSNS,San Ysidro
SanSCR,Scripps Ranch
SanSER,Serra Mesa
SanSHE,Shelltown
SanSHR,Sherman Heights
SanSKL,Skyline
SanSOR,Sorrento Valley
SanSOU,South Park
SanSTH,Southcrest
SanSTO,Stockton
SanSUN,Sunset Cliffs
SanSWA,Swan Canyon
SanTAL,Talmadge
SanTER,Teralta East
SanTRL,Teralta West
SanTIR,Tierrasanta
SanTIJ,Tijuana River Valley
SanTRR,Torrey Highlands
SanTOR,Torrey Pines
SanNUV,University City
SanUIN,University Heights
SanVAL,Valencia Park
SanWOD,Wooded Area
