neighborhood,population
Adams North,8646
Allied Gardens,11318
Alta Vista,3907
Azalea/Hollywood Park,5699
Balboa Park,2190
Barrio Logan,27630
Bay Ho,15348
Bay Park,18029
Bay Terraces,29507
Birdland,4322
Black Mountain Ranch,5977
Broadway Heights,296
Burlingame,1918
Carmel Mountain,1245
Carmel Valley,37071
Castle,12720
Cherokee Point,6941
Chollas Creek,6181
Chollas View,4837
Clairemont Mesa East,26878
Clairemont Mesa West,12999
Colina Del Sol,13491
College East,11512
College West,9700
Core-Columbia,5635
Corridor,8537
Cortez,9792
Del Cerro,6110
Del Mar Heights,4311
East Village,9791
Egger Highlands,13113
El Cerrito,6348
Emerald Hills,4146
Encanto,13293
Fairmont Park,2746
Fairmont Village,10492
Fox Canyon,1394
Gaslamp,37832
Golden Hill,10325
Grant Hill,5922
Grantville,8185
Harborview,1700
Hillcrest,13805
Horton Plaza,2742
Islenair,454
Jamacha Lomita,11171
Kearny Mesa,3950
Kensington,7170
La Jolla,31439
La Playa,1827
Lake Murray,19497
Lincoln Park,6843
Linda Vista,22887
Little Italy,1797
Logan Heights,17086
Loma Portal,9305
Marina,3727
Midtown,3340
Midway District,14098
Mira Mesa,65179
Miramar,4925
Miramar Ranch North,8953
Mission Bay,491
Mission Bay Park,46910
Mission Beach,2921
Mission Hills,8459
Mission Valley East,11677
Mission Valley West,1470
Morena,7845
Mountain View,23890
Mt Hope,5393
Nestor,11772
Normal Heights,9481
North City,7366
North Clairemont,17282
North Park,35158
Oak Park,23231
Ocean Beach,9767
Ocean Crest,1214
Old Town,1241
Otay Mesa,2753
Otay Mesa West,35349
Pacific Beach,30308
Palm City,6100
Paradise Hills,19388
Park West,8569
Point Loma Heights,20510
Rancho Bernardo,49950
Rancho Encantada,199
Rancho Penasquitos,43903
Redwood Village/Rolando Park,60181
Ridgeview/Webster,8577
Rolando,3733
Roseville / Fleet Ridge,3033
Sabre Springs,2571
San Carlos,16243
San Pasqual,2041
San Ysidro,30378
Scripps Ranch,23099
Serra Mesa,33406
Shelltown,4798
Sherman Heights,2696
Skyline,5469
Sorrento Valley,5441
South Park,6494
Southcrest,10805
Stockton,4659
Sunset Cliffs,159
Swan Canyon,2581
Talmadge,9914
Teralta East,6777
Teralta West,5443
Tierrasanta,18485
Tijuana River Valley,4219
Torrey Highlands,1025
Torrey Pines,3273
University City,32867
University Heights,12894
Valencia Park,12210
Wooded Area,4584
